Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,09 Jul 2020,Dividend - Rs. - 21.0000,-,13 Jul 2020,30 Jul 2020,06 Jul 2020,10 Jul 2020,-
540005,LTI,Larsen & Toubro Infotech Ltd,09 Jul 2020,Final Dividend - Rs. - 15.5000,-,13 Jul 2020,18 Jul 2020,06 Jul 2020,10 Jul 2020,-
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,13 Jul 2020,Final Dividend - Rs. - 25.0000,-,15 Jul 2020,17 Jul 2020,08 Jul 2020,14 Jul 2020,-
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,13 Jul 2020,Final Dividend - Rs. - 5.0000,-,15 Jul 2020,21 Jul 2020,08 Jul 2020,14 Jul 2020,-
500408,TATAELXSI,TATA ELXSI LTD.,13 Jul 2020,Final Dividend - Rs. - 16.5000,-,15 Jul 2020,21 Jul 2020,08 Jul 2020,14 Jul 2020,-
507817,WIREFABR,WIRES & FABRIKS (SA) LTD.,13 Jul 2020,Final Dividend - Rs. - 0.1000,14 Jul 2020,-,-,07 Jul 2020,13 Jul 2020,-
542543,INFRATRUST,India Infrastructure Trust,14 Jul 2020,Income Distribution (InvIT) ,15 Jul 2020,-,-,08 Jul 2020,14 Jul 2020,-
532937,KUANTUM,KUANTUM PAPERS LTD.,14 Jul 2020,Stock  Split From Rs.10/- to Rs.1/-,15 Jul 2020,-,-,08 Jul 2020,14 Jul 2020,-
500472,SKFINDIA,SKF India Ltd,14 Jul 2020,Special Dividend - Rs. - 130.0000,-,16 Jul 2020,23 Jul 2020,09 Jul 2020,15 Jul 2020,-
500400,TATAPOWER,TATA POWER CO.LTD.,14 Jul 2020,Dividend - Rs. - 1.5500,-,16 Jul 2020,30 Jul 2020,09 Jul 2020,15 Jul 2020,-
505036,ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$,15 Jul 2020,Final Dividend - Rs. - 5.0000,-,17 Jul 2020,21 Jul 2020,10 Jul 2020,16 Jul 2020,-
532522,PETRONET,PETRONET LNG LTD.,15 Jul 2020,Final Dividend - Rs. - 7.0000,16 Jul 2020,-,-,09 Jul 2020,15 Jul 2020,-
537259,SUYOG,Suyog Telematics Ltd,15 Jul 2020,Interim Dividend - Rs. - 0.5000,16 Jul 2020,-,-,09 Jul 2020,15 Jul 2020,-
505412,WENDT,WENDT (INDIA) LTD.,15 Jul 2020,Final Dividend - Rs. - 25.0000,-,17 Jul 2020,24 Jul 2020,10 Jul 2020,16 Jul 2020,-
500002,ABB,ABB India Limited,16 Jul 2020,Dividend - Rs. - 4.8000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
533138,ASTEC,ASTEC LIFESCIENCES LIMITED,16 Jul 2020,Final Dividend - Rs. - 1.5000,-,18 Jul 2020,21 Jul 2020,13 Jul 2020,16 Jul 2020,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,16 Jul 2020,Dividend - Rs. - 1.2000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
506390,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,16 Jul 2020,Special Dividend - Rs. - 140.0000,18 Jul 2020,-,-,13 Jul 2020,16 Jul 2020,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,16 Jul 2020,Final Dividend - Rs. - 12.0000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
506076,GRINDWELL,GRINDWELL NORTON LTD.-$,16 Jul 2020,Dividend - Rs. - 7.5000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
532947,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.,16 Jul 2020,Final Dividend - Rs. - 5.0000,17 Jul 2020,-,-,10 Jul 2020,16 Jul 2020,-
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,16 Jul 2020,Dividend - Rs. - 10.0000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
500520,M&M,MAHINDRA & MAHINDRA LTD.,16 Jul 2020,Dividend - Rs. - 2.3500,-,18 Jul 2020,07 Aug 2020,13 Jul 2020,16 Jul 2020,-
500302,PEL,PIRAMAL ENTERPRISES LTD.,16 Jul 2020,Final Dividend - Rs. - 14.0000,-,18 Jul 2020,30 Jul 2020,13 Jul 2020,16 Jul 2020,-
519091,TASTYBIT,TASTY BITE EATABLES LTD.,16 Jul 2020,Final Dividend - Rs. - 2.0000,-,18 Jul 2020,06 Aug 2020,13 Jul 2020,16 Jul 2020,-
532540,TCS,TATA CONSULTANCY SERVICES LTD.,16 Jul 2020,Interim Dividend - Rs. - 5.0000,17 Jul 2020,-,-,10 Jul 2020,16 Jul 2020,-
500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,17 Jul 2020,Final Dividend - Rs. - 20.0000,20 Jul 2020,-,-,13 Jul 2020,17 Jul 2020,-
500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,17 Jul 2020,Special Dividend - Rs. - 20.0000,20 Jul 2020,-,-,13 Jul 2020,17 Jul 2020,-
500850,INDHOTEL,INDIAN HOTELS CO.LTD.,17 Jul 2020,Final Dividend - Rs. - 0.5000,-,21 Jul 2020,27 Jul 2020,14 Jul 2020,20 Jul 2020,-
513605,SRIPIPES,Srikalahasthi Pipes Limited,17 Jul 2020,Dividend - Rs. - 7.0000,-,21 Jul 2020,27 Jul 2020,14 Jul 2020,20 Jul 2020,-
540900,NEWGEN,Newgen Software Technologies Ltd,20 Jul 2020,Final Dividend - Rs. - 2.0000,21 Jul 2020,-,-,14 Jul 2020,20 Jul 2020,-
500314,ORIENTHOT,ORIENTAL HOTELS LTD.,20 Jul 2020,Final Dividend - Rs. - 0.2000,-,22 Jul 2020,28 Jul 2020,-,-,-
509966,VSTIND,VST INDUSTRIES LTD.,20 Jul 2020,Final Dividend - Rs. - 103.0000,-,22 Jul 2020,29 Jul 2020,-,-,-
541269,CHEMFABALKA,Chemfab Alkalis Ltd,21 Jul 2020,Final Dividend - Rs. - 1.2500,-,23 Jul 2020,29 Jul 2020,-,-,-
509675,HIL,HIL LTD.,21 Jul 2020,Final Dividend - Rs. - 10.0000,-,23 Jul 2020,29 Jul 2020,-,-,-
