ISIN,date,face_value,security_group,industry,instrument,market_lot,name_of_company,paid_up_value,security_code,security_id,security_name,series,symbol,nse,bse,trading_location
INE208C01025,03-APR-1996,1,A ,Oil Marketing & Distribution,Equity,1,Aegis Logistics Limited,1,500003,AEGISLOG,AEGIS LOGISTICS LTD.,EQ,AEGISCHEM,1,1,India
INE001A01036,23-OCT-1996,2,A ,Housing Finance ,Equity,1,Housing Development Finance Corporation Limited,2,500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,EQ,HDFC,1,1,India
INE032A01023,26-APR-1995,2,A ,Textiles,Equity,1,Bombay Dyeing & Mfg Company Limited,2,500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,EQ,BOMDYEING,1,1,India
INE100A01010,06-MAY-1998,10,A ,Specialty Chemicals,Equity,1,Atul Limited,10,500027,ATUL,ATUL LTD.,EQ,ATUL,1,1,India
INE193E01025,02-NOV-2007,2,A ,Household Appliances,Equity,1,Bajaj Electricals Limited,2,500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,EQ,BAJAJELEC,1,1,India
INE451A01017,03-NOV-1994,10,A ,Cars & Utility Vehicles,Equity,1,FORCE MOTORS LTD,10,500033,FORCEMOT,FORCE MOTORS LTD.-$,EQ,FORCEMOT,1,1,India
INE296A01024,01-APR-2003,2,A ,Finance (including NBFCs),Equity,1,Bajaj Finance Limited,2,500034,BAJFINANCE,Bajaj Finance Limited,EQ,BAJFINANCE,1,1,India
INE119A01028,08-FEB-1995,1,A ,Sugar,Equity,1,Balrampur Chini Mills Limited,1,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,EQ,BALRAMCHIN,1,1,India
INE055A01016,27-JUN-2003,10,A ,Paper & Paper Products,Equity,1,Century Textiles & Industries Limited,10,500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,EQ,CENTURYTEX,1,1,India
INE373A01013,17-MAY-1995,10,A ,Specialty Chemicals,Equity,1,BASF India Limited,10,500042,BASF,BASF INDIA LTD.,EQ,BASF,1,1,India
INE176A01028,18-JUN-2003,5,A ,Footwear,Equity,1,Bata India Limited,5,500043,BATAINDIA,BATA INDIA LTD.,EQ,BATAINDIA,1,1,India
INE258A01016,05-NOV-2003,10,A ,Commercial Vehicles,Equity,1,BEML Limited,10,500048,BEML,BEML LTD.,EQ,BEML,1,1,India
INE263A01024,19-JUL-2000,1,A ,Defence,Equity,1,Bharat Electronics Limited,1,500049,BEL,BHARAT ELECTRONICS LTD.,EQ,BEL,1,1,India
INE472A01039,15-JUN-2000,2,A ,Consumer Electronics,Equity,1,Blue Star Limited,2,500067,BLUESTARCO,BLUE STAR LTD.,EQ,BLUESTARCO,1,1,India
INE486A01013,08-FEB-1995,10,A ,Electric Utilities,Equity,1,CESC Limited,10,500084,CESC,CESC LTD.,EQ,CESC,1,1,India
INE085A01013,14-JUN-1995,10,A ,Fertilizers,Equity,1,Chambal Fertilizers & Chemicals Limited,10,500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,EQ,CHAMBLFERT,1,1,India
INE302A01020,17-JUN-2003,1,A ,Auto Parts & Equipment,Equity,1,Exide Industries Limited,1,500086,EXIDEIND,EXIDE INDUSTRIES LTD.,EQ,EXIDEIND,1,1,India
INE059A01026,08-FEB-1995,2,A ,Pharmaceuticals,Equity,1,Cipla Limited,2,500087,CIPLA,CIPLA LTD.,EQ,CIPLA,1,1,India
INE007A01025,28-JUN-1995,1,A ,Other Financial Services,Equity,1,CRISIL Limited,1,500092,CRISIL,CRISIL LTD.,EQ,CRISIL,1,1,India
INE016A01026,28-APR-1999,1,A ,Personal Products,Equity,1,Dabur India Limited,1,500096,DABUR,DABUR INDIA LTD.,EQ,DABUR,1,1,India
INE034A01011,08-FEB-1995,10,A ,Textiles,Equity,1,Arvind Limited,10,500101,ARVIND,ARVIND LTD.,EQ,ARVIND,1,1,India
INE257A01026,11-NOV-2003,2,A ,Heavy Electrical Equipment,Equity,1,Bharat Heavy Electricals Limited,2,500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,EQ,BHEL,1,1,India
INE094A01015,17-JUN-1998,10,A ,Refineries/ Petro-Products,Equity,1,Hindustan Petroleum Corporation Limited,10,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,EQ,HINDPETRO,1,1,India
INE039A01010,26-APR-1995,10,A ,Financial Institutions,Equity,1,IFCI Limited,10,500106,IFCI,IFCI LTD.,EQ,IFCI,1,1,India
INE103A01014,07-JAN-2005,10,A ,Refineries/ Petro-Products,Equity,1,Mangalore Refinery and Petrochemicals Limited,10,500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,EQ,MRPL,1,1,India
INE178A01016,07-JUN-2000,10,A ,Refineries/ Petro-Products,Equity,1,Chennai Petroleum Corporation Limited,10,500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,EQ,CHENNPETRO,1,1,India
INE062A01020,01-MAR-1995,1,A ,Banks,Equity,1,State Bank of India,1,500112,SBIN,STATE BANK OF INDIA,EQ,SBIN,1,1,India
INE114A01011,06-JUL-1995,10,A ,Iron & Steel/Interm.Products,Equity,1,Steel Authority of India Limited,10,500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,EQ,SAIL,1,1,India
INE280A01028,24-SEP-2004,1,A ,Other Apparels & Accessories,Equity,1,Titan Company Limited,1,500114,TITAN,Titan Company Limited,EQ,TITAN,1,1,India
INE008A01015,20-SEP-1995,10,A ,Banks,Equity,1,IDBI Bank Limited,10,500116,IDBI,IDBI BANK LTD.,EQ,IDBI,1,1,India
INE126A01031,10-MAY-1995,1,A ,Sugar,Equity,1,EID Parry India Limited,1,500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,EQ,EIDPARRY,1,1,India
